trip_date,total_trips,avg_fare,avg_distance,avg_duration_min,total_revenue,avg_tip_pct,morning_rush_trips,evening_rush_trips
2023-01-01 00:00:00,69888,21.94,4.38,15.11,2153711.77,18.52,3472,14556
2023-01-02 00:00:00,61802,22.32,4.64,14.62,1944865.43,18.39,4697,17371
2023-01-03 00:00:00,80467,20.25,3.94,15.21,2369548.42,19.38,11425,21272
2023-01-04 00:00:00,89426,19.16,3.6,14.92,2518952.45,36.05,11608,27081
2023-01-05 00:00:00,95075,18.51,3.42,14.62,2602721.89,20.26,12257,26130
2023-01-06 00:00:00,96538,17.94,3.26,14.42,2580422.64,20.42,10867,26054
2023-01-07 00:00:00,99075,17.73,3.28,13.46,2545104.15,19.98,6210,24871
2023-01-08 00:00:00,80088,19.96,4.02,13.52,2294201.22,19.83,5057,19118
2023-01-09 00:00:00,80010,19.04,3.65,14.4,2255115.74,20.66,11560,22618
2023-01-10 00:00:00,94268,17.8,3.21,14.26,2511786.49,20.98,12789,26343
2023-01-11 00:00:00,100090,17.55,3.16,14.12,2641665.89,21.3,12879,28226
2023-01-12 00:00:00,104369,18.57,3.33,15.47,2892708.71,22.05,13755,29087
2023-01-13 00:00:00,104028,18.86,3.48,15.22,2935261.0,20.93,11031,28081
2023-01-14 00:00:00,106455,17.98,3.26,14.09,2788644.31,20.29,6399,27332
2023-01-15 00:00:00,91033,18.82,3.63,13.51,2481723.85,20.23,5633,22089
2023-01-16 00:00:00,75419,20.07,4.05,13.87,2193142.14,20.42,6870,20636
2023-01-17 00:00:00,95017,18.91,3.48,15.03,2677555.9,21.11,13877,25553
2023-01-18 00:00:00,100079,18.23,3.24,14.96,2729776.21,21.24,13251,27668
2023-01-19 00:00:00,107266,18.03,3.06,15.74,2893338.62,23.04,14073,29268
2023-01-20 00:00:00,103093,18.09,3.24,14.93,2789626.11,20.87,11434,27192
2023-01-21 00:00:00,105559,17.13,3.07,13.43,2639057.42,20.27,6006,26544
2023-01-22 00:00:00,84148,19.12,3.74,13.63,2332100.6,20.17,4959,20617
2023-01-23 00:00:00,84199,18.4,3.45,14.21,2312914.67,21.03,12155,22970
2023-01-24 00:00:00,97828,17.65,3.11,14.46,2597632.7,21.22,13208,27733
2023-01-25 00:00:00,102057,17.2,2.94,14.56,2652544.58,21.57,13216,29303
2023-01-26 00:00:00,107971,18.23,3.22,15.14,2950888.35,21.34,13350,29255
2023-01-27 00:00:00,105092,17.94,3.2,14.76,2832879.88,21.06,11366,28241
2023-01-28 00:00:00,105030,17.21,3.01,14.03,2636259.74,20.2,6122,25958
2023-01-29 00:00:00,82749,19.17,3.75,13.6,2298039.09,20.17,4973,18775
2023-01-30 00:00:00,78571,18.85,3.56,14.56,2200392.24,20.8,11528,21560
2023-01-31 00:00:00,94414,18.03,3.08,15.35,2540872.02,21.14,13771,25913
2023-02-01 00:00:00,100919,17.55,3.09,14.56,2663747.48,21.34,13575,27879
2023-02-02 00:00:00,105969,17.76,3.12,14.89,2830387.61,21.36,13604,29373
2023-02-03 00:00:00,106560,17.32,3.06,14.27,2792359.91,21.48,11748,30690
2023-02-04 00:00:00,90872,17.02,3.03,13.27,2264494.31,20.52,5845,23957
2023-02-05 00:00:00,78509,19.63,3.85,13.91,2226738.51,20.08,5321,19436
2023-02-06 00:00:00,85322,18.81,3.54,14.67,2390847.28,20.88,12236,23716
2023-02-07 00:00:00,99670,17.61,3.09,14.69,2642125.03,21.46,13615,27492
2023-02-08 00:00:00,101969,17.81,3.11,14.91,2731026.28,21.35,13423,28177
2023-02-09 00:00:00,108179,18.69,3.26,15.86,3015095.82,21.22,13753,29126
2023-02-10 00:00:00,107425,18.42,3.26,15.51,2957806.9,20.86,11331,29029
2023-02-11 00:00:00,107499,17.75,3.08,14.79,2766564.87,20.08,6453,27343
2023-02-12 00:00:00,88424,19.02,3.73,13.57,2437894.56,20.11,5237,21267
2023-02-13 00:00:00,87251,18.65,3.49,14.42,2418312.71,20.71,12016,24118
2023-02-14 00:00:00,101727,18.04,3.05,15.65,2735241.63,20.76,13244,29886
2023-02-15 00:00:00,103879,18.99,3.4,15.44,2942899.8,21.22,13574,28093
2023-02-16 00:00:00,105958,18.59,3.26,15.76,2937753.39,21.22,13063,28434
2023-02-17 00:00:00,104322,18.42,3.27,15.43,2877591.85,21.06,11813,28420
2023-02-18 00:00:00,98684,18.13,3.24,14.45,2587014.96,19.75,6196,25381
2023-02-19 00:00:00,84414,19.32,3.71,14.16,2347908.03,19.66,4870,20484
2023-02-20 00:00:00,74797,20.69,4.22,14.1,2224180.7,19.59,6698,20753
2023-02-21 00:00:00,93929,18.76,3.44,15.07,2622612.94,20.88,12814,26175
2023-02-22 00:00:00,104182,18.46,3.22,15.5,2864495.72,21.02,13322,28338
2023-02-23 00:00:00,108425,18.69,3.31,15.57,3014000.42,20.97,13002,30194
2023-02-24 00:00:00,108120,18.27,3.26,15.0,2950831.6,20.88,10932,29455
2023-02-25 00:00:00,105950,17.79,3.17,14.01,2735148.79,20.22,6481,26399
2023-02-26 00:00:00,85319,19.93,3.94,14.06,2451358.2,20.04,5395,20007
2023-02-27 00:00:00,86712,19.15,3.62,15.01,2464496.96,20.87,12039,24701
2023-02-28 00:00:00,94648,18.14,3.36,14.07,2570527.06,21.48,13220,25400
2023-03-01 00:00:00,108167,18.68,3.29,15.68,3008311.72,21.21,14502,29494
2023-03-02 00:00:00,111672,18.77,3.31,15.84,3123733.5,21.19,14140,30026
2023-03-03 00:00:00,108723,18.16,3.24,15.09,2956304.7,21.03,11717,28907
2023-03-04 00:00:00,105569,17.7,3.15,14.23,2716154.0,20.21,6679,27322
2023-03-05 00:00:00,90753,19.83,3.86,14.53,2595282.05,19.82,5636,21820
2023-03-06 00:00:00,87697,19.55,3.65,15.42,2539992.61,20.57,11849,24462
2023-03-07 00:00:00,106774,17.98,3.12,15.06,2884896.22,21.29,13534,31105
2023-03-08 00:00:00,111574,18.76,3.22,16.14,3120886.79,21.18,14672,30607
2023-03-09 00:00:00,114280,18.85,3.27,16.11,3204871.29,20.84,14247,31187
2023-03-10 00:00:00,113442,18.63,3.26,16.08,3158430.02,20.95,12159,32228
2023-03-11 00:00:00,104191,17.77,3.2,14.05,2694454.24,20.18,6787,26874
2023-03-12 00:00:00,89119,19.96,3.93,14.91,2567120.14,19.92,5236,21876
2023-03-13 00:00:00,93813,19.31,3.55,15.66,2690858.67,20.82,13199,26382
2023-03-14 00:00:00,100661,18.22,3.24,14.9,2739402.02,21.22,13947,27849
2023-03-15 00:00:00,112212,19.49,3.35,16.9,3232510.47,20.95,15052,30461
2023-03-16 00:00:00,116280,19.81,3.41,17.42,3396994.54,20.62,14772,31134
2023-03-17 00:00:00,105349,20.01,3.49,17.22,3094175.4,20.32,12085,28224
2023-03-18 00:00:00,113853,18.29,3.28,14.71,3010864.26,19.8,6793,28568
2023-03-19 00:00:00,94028,20.66,4.0,15.14,2794111.16,19.96,6550,22312
2023-03-20 00:00:00,85601,20.62,3.99,15.96,2601200.26,20.7,11835,23145
2023-03-21 00:00:00,95513,19.26,3.49,15.86,2724288.65,20.85,12625,25972
2023-03-22 00:00:00,99566,19.24,3.42,15.87,2843634.29,22.01,12921,27196
2023-03-23 00:00:00,106852,19.57,3.49,16.6,3096969.84,20.89,12724,27917
2023-03-24 00:00:00,103776,19.08,3.51,15.44,2949282.03,20.78,11045,27071
2023-03-25 00:00:00,107792,17.75,3.2,14.1,2784656.17,20.32,6022,26592
2023-03-26 00:00:00,88056,20.84,4.09,15.26,2633699.07,19.74,5384,21437
2023-03-27 00:00:00,89960,19.72,3.76,15.43,2634078.78,20.82,11185,28382
2023-03-28 00:00:00,98080,19.13,3.44,15.65,2779856.52,21.24,13352,26035
2023-03-29 00:00:00,104525,19.23,3.43,16.12,2983505.42,20.98,12809,28683
2023-03-30 00:00:00,111682,19.55,3.44,16.76,3223298.76,20.96,13753,29623
2023-03-31 00:00:00,107466,19.36,3.54,15.89,3086187.69,20.83,10845,29521
