pickup_hour,time_of_day,total_trips,avg_fare,avg_distance,avg_tip_pct,avg_speed_mph
0,off_peak,238017,19.65,3.96,21.01,15.41
1,off_peak,159870,17.77,3.48,20.9,15.0
2,off_peak,104110,16.72,3.22,20.69,15.04
3,off_peak,70876,17.75,3.51,20.19,16.0
4,off_peak,45210,22.9,4.85,18.17,18.86
5,off_peak,47766,27.04,6.12,17.43,20.74
6,off_peak,120803,22.64,4.89,18.34,16.96
7,morning_rush,241567,18.98,3.68,25.75,13.54
8,morning_rush,333364,17.57,3.09,20.12,11.51
9,morning_rush,377743,17.88,3.1,19.91,11.37
10,off_peak,409242,17.92,3.11,19.58,11.25
11,off_peak,443483,17.87,3.03,19.45,10.75
12,off_peak,481752,18.27,3.14,19.45,10.78
13,off_peak,500100,19.01,3.35,19.32,10.83
14,off_peak,541039,20.01,3.56,19.33,10.61
15,off_peak,552370,19.7,3.44,19.33,10.21
16,evening_rush,554188,19.72,3.47,21.47,10.45
17,evening_rush,602943,18.62,3.22,22.06,10.34
18,evening_rush,630883,17.22,2.95,22.63,10.66
19,evening_rush,565536,17.59,3.2,22.67,11.93
20,off_peak,494515,18.04,3.41,22.24,13.04
21,off_peak,487150,18.44,3.55,21.86,13.75
22,off_peak,447498,19.29,3.77,21.42,14.09
23,off_peak,347739,20.33,4.1,20.91,15.15
